author	description	retweet
01Mannella	Super Mario Odyssey is my pick for Game of The Year @thegameawards - Live on December 7 https://t.co/biDUll7cKT	false
Zedersteel	RT @Screvvy: PUBG really shouldn't be here Not that it's bad. But it's early access. It's technically not able to qualify for GO… 	true
FlaxrXIII	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
DestinationMarc	RT @VidGamesFTW: Here's Part 4 of "Super Mario Odyssey;" hope you enjoy! https://t.co/pqznbX4tbr	true
PreStalnic	RT @SPepOfficial: When we said Nintendo would be competing against themselves for GOTY this year, we meant it https://t.co/no02J925ih	true
Cross_J	RT @troyofathens: Nintendo knew before anyone @playoverwatch #SuperMarioOdyssey #overwatch https://t.co/9FtLSAL1v3	true
SageWindfeather	I came THIS 👌close to buying some Mario themed socks at Walmart today because Mario Odyssey has me by the BAWLS right now X_X	false
CrispyLust	Games to get instead of Battlefront II like a sane person and not be a corporate slave:  Persona 5 Super Mario Odyssey Sonic Mania DOOM 2016 Kingdom Hearts 1.5 + 2.5 and 2.8 Cuphead Injustice 2 Ultimate Edtion Crash Bandicoot N. Sane Trilogy Final Fantasy XV WWE 2K18	false
disgusted_ddd	RT @SliccBicc: bounce #SuperMarioOdyssey #NintendoSwitch https://t.co/TcLhtLEQAY	true
superjem94	Can we please get Cappy and Pauline in the next Mario Kart https://t.co/u336ttaZEk	false
Carlcjsmith	I can vouch for Horizon and I have Persona 5 and still haven’t played it https://t.co/Fjcr1gOuGS	false
missdjm	RT @geoffkeighley: Nominees for @thegameawards Game of the Year are: Horizon Zero Dawn, Persona 5, @PLAYERUNKNOWN BattleGrounds, Super… 	true
01Mannella	Super Mario Odyssey is my pick for Best Game Direction @thegameawards - Live on December 7 https://t.co/biDUll7cKT	false
zypherplays	I liked a @YouTube video https://t.co/KWXPAPxx6q Jump Up, Super Star - SUPER MARIO ODYSSEY - Part 8 - Alpharad	false
EvilSpartanEri	Super Mario Odyssey is my pick for Game of The Year @thegameawards - Live on December 7 https://t.co/zdcdRJRMQz	false
mehdigeek	RT @Wario64: The Game Awards nominees: https://t.co/eXIgMNobMa GOTY nominees: • Zelda: Breath of the Wild • Super Mario Odyssey… 	true
