author	description	retweet
yngstix	ITS AN ODYSSEY ALRIGHT | Super Mario Odyssey Co-op Rage and more! (w/ Alex) https://t.co/7W9AJsQKQR via @YouTube	False
TotalMinerDude	Super Mario Odyssey - Part 3 - Secret Flower Garden: https://t.co/AS1LnJStl5 via @YouTube	False
yabbyabbi	THE SKELETON GUYS IN SUPER MARIO ODYSSEY ARE PRECIOUS AND I LOVE THEM WITH ALL MY HEART	False
Error_timed_out	I liked a @YouTube video https://t.co/wzRxFFhnvh SORRY PEACH, WHAT\'S GOOD PAULINE!? [SUPER MARIO ODYSSEY] [#06]	False
Jerichofr	I liked a @YouTube video https://t.co/MG6RKyCk8t Super Mario Odyssey (IN 148,777 DOMINOES!)	False
sevengranddad92	RT @TristanACooper: If you zoom in on the binoculars in Mario Odyssey, there\'s a tiny reflection of the kingdom where it\'s located. https:/…	True
Abbyxz18	Me gustó un video de @YouTube https://t.co/LdLTTFbtkH SORRY PEACH, WHAT\'S GOOD PAULINE!? [SUPER MARIO ODYSSEY] [#06]	False
Kaiss_H	RT @RachelKaralnik: Giving away Super Mario Odyssey to thank you all for 5K subs! To enter rt this tweet, like this, &amp; watch this video. ht…	True
Tsunderecum	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
OatmealShark	RT @_SquatchSlayer_: Mario Odyssey was a masterpiece. https://t.co/NlkuIMhMsx	True
PartyPanda297	@alpharadtv Hey @alpharadtv I’m having trouble diving on to cappy in Mario Odyssey. Any tips to help?	False
rober_shock	Super Mario Odyssey Ep 15 Un final un poco mehhh para tan wena story xD: https://t.co/CcnzQTpiNS via @YouTube	False
gamejolt_adam	RT @NintendoAmerica: @DOOM @BandaiNamcoUS Triathlon?  Xenoverse 2, Doom, the bring it home with Super Mario Odyssey.	True
Andrejomon	Terminei Super Mario Odyssey. Que jogo do caralho... Não consegui terminar sem tirar o sorriso do meu rosto.	False
KyunnBunn	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
Antwaun_09	@NintendoAmerica mario odyssey is kind of mario galaxy 3 in heart	False
rboo98	RT @AeroViro: What the shibe in Super Mario Odyssey actually sounds like https://t.co/dCkxeAMlRA	True
LuigiOdyssey	MARIO ODYSSEY 2: Boston-inspired kingdom. All the buildings are ugly and old and the roads are hell and there is no… https://t.co/Bs73LqafZg	False
DreGaming94	I liked a @YouTube video https://t.co/ssFKMhqaPI SORRY PEACH, WHAT\'S GOOD PAULINE!? [SUPER MARIO ODYSSEY] [#06]	False
gamejolt_adam	RT @yougotamoon_bot: YOU GOT A MOON!Super Mario Odyssey Spoilers!	True
illuminaterios	RT @Nick__Wolfhard: Beat Super Mario Odyssey, what an amazing experience! Will definitely stream some post game moon grabbing once I have a…	True
Larpyiscool	RT @IHE_OFFICIAL: I’d pretty much lost hope with the games industry because every series I care about has been completely ruined (Mass Effe…	True
Titto530	RT @senormarkymark: Horizon Zero DawnPersona 5Resident Evil 7ZeldaMario OdysseyCupheadHellbladeDivinity Original Sin2Assassins Cree…	True
pkvstheworld	@JoeGoesRetro I can\'t wait to get the Switch and Mario Odyssey sometime down the road. The game looks great! I\'m su… https://t.co/W8BQtHsXqv	False
jazzib19	RT @Nick__Wolfhard: Beat Super Mario Odyssey, what an amazing experience! Will definitely stream some post game moon grabbing once I have a…	True
JulioQnz21	Me gustó un video de @YouTube https://t.co/GtCdTonw7w SORRY PEACH, WHAT\'S GOOD PAULINE!? [SUPER MARIO ODYSSEY] [#06]	False
tellllllme	約15万ピースのドミノでスーパーマリオ オデッセイを表現した圧巻のムービー https://t.co/VxjalG8ZbA https://t.co/WuS3jQsWhW	False
News_S10	約15万ピースのドミノでスーパーマリオ オデッセイを表現した圧巻のムービー https://t.co/LWDNRyaCgf https://t.co/TAsFP4bGbH	False
xtanayshaaa	I liked a @YouTube video https://t.co/SuzkGu0Bxu SORRY PEACH, WHAT\'S GOOD PAULINE!? [SUPER MARIO ODYSSEY] [#06]	False
ArtsieSteph	RT @TristanACooper: If you zoom in on the binoculars in Mario Odyssey, there\'s a tiny reflection of the kingdom where it\'s located. https:/…	True
OfTheClasherFox	RT @WithZack__: ¡¡ CARRERAS DE KOOPAS EN SUPER MARIO ODYSSEY !! - Gameplay Español#15 [WithZack]: https://t.co/sfGVDezyqB vía @YouTube	True
DrJin_JIN_K	Super Mario Odyssey 100% walk through Challenge!!! Finishing seaside kingdom Part 10: https://t.co/Gg7LvOhABi (@YouTube)	False
weather0witch	RT @MarkStevenSoto: https://t.co/ZQ7xH2tnlh What do you get when Gusty Garden and Cascade Kingdom have a baby? You get this! Hope you lik…	True
FlyRts	RT @floppywopper: Going live with Super Mario Odyssey on Solo Sunday! https://t.co/uuOQs3ZIMN  @HyperRTs	True
Gam3Wrld	Guy Celebrates Super Mario Odyssey With 148,777 Falling Dominoes https://t.co/kRHF13sXvn https://t.co/tgBPP456Xk	False
upsetbi	RT @brysontiller: Super Mario Odyssey. definitely one of the best games i\'ve ever played.	True
